year,month,MKT,REG,PEAD,HMLM,STR,ILR,SMB,EPRD
1980,5,0.0526,-0.007841,0.0054,0.009822798,0.0284,0.006333,0.021,0.018777
1980,6,0.0306,0.008495,0.0038,-0.016472624,0.0224,0.044359,0.0142,-0.026679
1980,7,0.0649,-0.033008,-0.0107,-0.053412943,0.0295,0.062796,0.0382,0.001059
1980,8,0.018,0.015091,0.0122,-0.032097703,-0.0084,0.027978,0.0426,-0.031034
1980,9,0.0219,0.023078,0.0045,-0.04277283,-0.0152,0.091013,0.0066,0.003907
1980,10,0.0106,0.026543,0.0198,-0.050690961,-0.0196,0.039746,0.0236,-0.000292
1980,11,0.0959,0.00889,-0.031,-0.107136586,-0.0971,0.103611,-0.0331,-0.012581
1980,12,-0.0452,0.001451,0.0046,0.056548334,0.0638,0.003194,-0.0029,0.058816
1981,1,-0.0504,0.005626,0.0356,0.08894774,-0.0229,0.036408,0.0329,0.004317
1981,2,0.0057,0.016871,0.0199,0.010472015,-0.0233,0.062009,-0.0051,0.006392
1981,3,0.0356,-0.018552,0.0103,0.012586348,0.0159,-0.028616,0.0303,-0.071308
1981,4,-0.0211,0.010888,0.0159,0.022964699,-0.0149,0.00169,0.0459,0.041113
1981,5,0.0011,0.016626,0.0119,-0.012105404,-0.0378,0.068594,0.0245,0.024977
1981,6,-0.0236,0.019106,2.00E-04,0.068636376,0.0478,-0.086272,-0.0095,-0.008359
1981,7,-0.0154,-0.006191,8.00E-04,0.001622182,-0.0056,0.029536,-0.0205,-0.023082
1981,8,-0.0704,0.022329,-0.0031,0.036634578,-0.0065,0.085133,-0.0181,0.02003
1981,9,-0.0717,0.039739,0.007,0.037500529,-0.0111,-0.037893,-0.0244,0.087085
1981,10,0.0492,-0.010121,0.0327,-0.048338191,0.0455,0.048644,0.0236,0.100268
1981,11,0.0336,0.019895,-0.0104,0.030530947,0.0267,-0.035048,-0.0151,-0.019577
1981,12,-0.0365,0.013694,-0.0025,0.005392051,0.0166,-0.005169,0.012,0.007984
1982,1,-0.0324,0.008418,0.0051,0.024095749,-0.0137,0.067264,-0.0113,0.067858
1982,2,-0.0586,0.035564,0.0209,0.040514243,-0.0431,0.014184,0.0035,0.026186
1982,3,-0.0187,0.024862,-0.0035,0.027132021,-0.0189,0.039105,-4.00E-04,-0.000749
1982,4,0.0327,0.007097,0.0157,-0.019873673,0.0165,0.024235,0.0109,0.040835
