"","year","month","return"
"3700",2001,4,-0.094058
"3709",2001,5,-0.051783
"3718",2001,6,-0.005419
"3727",2001,7,0.063489
"3736",2001,8,0.010217
"3745",2001,9,0.131185
"3754",2001,10,-0.109577
"3763",2001,11,0.057037
"3772",2001,12,-0.061118
"3781",2002,1,-0.018399
"3790",2002,2,0.047033
"3799",2002,3,0.001736
"3808",2002,4,0.052257
"3817",2002,5,0.022919
"3826",2002,6,-0.020799
"3835",2002,7,-0.093713
"3844",2002,8,0.024196
"3853",2002,9,0.01979
"3862",2002,10,-0.143116
"3871",2002,11,0.154989
"3880",2002,12,-0.17655
"3889",2003,1,-0.037722
"3898",2003,2,0.000846999999999997
"3907",2003,3,0.028695
"3916",2003,4,-0.00103199999999999
"3925",2003,5,-0.06915
"3934",2003,6,0.020029
"3943",2003,7,-0.045755
"3952",2003,8,0.040673
"3961",2003,9,-0.027204
"3970",2003,10,-0.011742
"3979",2003,11,0.041463
"3988",2003,12,-0.081328
"3997",2004,1,-0.057647
"4006",2004,2,-0.062423
"4015",2004,3,0.006979
"4024",2004,4,-0.00938400000000001
"4033",2004,5,-0.033888
"4042",2004,6,0.000373999999999999
"4051",2004,7,0.023711
"4060",2004,8,0.05241
"4069",2004,9,-0.007937
"4078",2004,10,-0.013558
"4087",2004,11,0.024628
"4096",2004,12,0.005086
"4105",2005,1,-0.002355
"4114",2005,2,0.041764
"4123",2005,3,-0.03554
"4132",2005,4,0.060246
"4141",2005,5,-0.004333
"4150",2005,6,0.031909
"4159",2005,7,0.00901199999999999
"4168",2005,8,0.00151
"4177",2005,9,0.083959
"4186",2005,10,-0.042895
"4195",2005,11,0.001266
"4204",2005,12,0.028296
"4213",2006,1,0.066609
"4222",2006,2,-0.086158
"4231",2006,3,-0.013137
"4240",2006,4,0.055352
"4249",2006,5,-0.027557
"4258",2006,6,0.022846
"4267",2006,7,0.062504
"4276",2006,8,0.027439
"4285",2006,9,0.045576
"4294",2006,10,0.003248
"4303",2006,11,0.016531
"4312",2006,12,-0.013204
"4321",2007,1,-0.030151
"4330",2007,2,0.039487
"4339",2007,3,0.009265
"4348",2007,4,0.01369
"4357",2007,5,0.034385
"4366",2007,6,0.032748
"4375",2007,7,0.044426
"4384",2007,8,0.02992
"4393",2007,9,0.071322
"4402",2007,10,0.070293
"4411",2007,11,0.010009
"4420",2007,12,0.019782
"4429",2008,1,-0.043849
"4438",2008,2,-0.086986
"4447",2008,3,-0.017615
"4456",2008,4,-0.104744
"4465",2008,5,0.095795
"4474",2008,6,0.159584
"4483",2008,7,-0.069385
"4492",2008,8,0.022883
"4501",2008,9,0.239788
"4510",2008,10,0.124664
"4519",2008,11,0.070538
"4528",2008,12,-0.041066
"4537",2009,1,-0.048499
"4546",2009,2,0.089281
"4555",2009,3,0.013402
"4564",2009,4,0.126645
"4573",2009,5,-0.086713
"4582",2009,6,-0.03267
"4591",2009,7,-0.088995
"4600",2009,8,0.039364
"4609",2009,9,0.012504
"4618",2009,10,0.041717
"4627",2009,11,-0.046333
"4636",2009,12,-0.064016
"4645",2010,1,-0.027712
"4654",2010,2,-0.077328
"4663",2010,3,0.027182
"4672",2010,4,0.082067
"4681",2010,5,0.000219999999999998
"4690",2010,6,0.071798
"4699",2010,7,-0.046656
"4708",2010,8,-0.026824
"4717",2010,9,-0.110154
"4726",2010,10,-0.018829
"4735",2010,11,0.030658
"4744",2010,12,0.010995
"4753",2011,1,0.037694
"4762",2011,2,-0.002536
"4771",2011,3,0.055541
"4780",2011,4,-0.035688
"4789",2011,5,0.026185
"4798",2011,6,0.008996
"4807",2011,7,-0.001231
"4816",2011,8,0.051709
"4825",2011,9,0.142257
"4834",2011,10,-0.163716
"4843",2011,11,0.01578
"4852",2011,12,0.02871
"4861",2012,1,-0.032489
"4870",2012,2,-0.027812
"4879",2012,3,0.059024
"4888",2012,4,0.013594
"4897",2012,5,0.00333700000000001
"4906",2012,6,0.017248
"4915",2012,7,-0.001963
"4924",2012,8,-0.074349
"4933",2012,9,0.046383
"4942",2012,10,-0.006314
"4951",2012,11,-0.022712
"4960",2012,12,-0.004708
"4969",2013,1,0.008166
"4978",2013,2,0.033133
"4987",2013,3,0.04011
"4996",2013,4,0.03209
"5005",2013,5,-0.013743
"5014",2013,6,-0.017812
"5023",2013,7,0.038204
"5032",2013,8,0.016236
"5041",2013,9,-0.020202
"5050",2013,10,-0.009817
"5059",2013,11,-0.004667
"5068",2013,12,-0.002719
"5077",2014,1,-0.011285
"5086",2014,2,0.02748
"5095",2014,3,-0.035931
"5104",2014,4,0.015605
"5113",2014,5,-0.048393
"5122",2014,6,-0.028166
"5131",2014,7,-0.035962
"5140",2014,8,0.000440999999999997
"5149",2014,9,-0.00480699999999999
"5158",2014,10,0.074907
"5167",2014,11,0.066557
"5176",2014,12,0.030602
"5185",2015,1,0.135877
"5194",2015,2,-0.05371
"5203",2015,3,-0.015503
"5212",2015,4,-0.114605
"5221",2015,5,-0.080969
"5230",2015,6,0.051957
"5239",2015,7,0.094587
"5248",2015,8,-0.03925
"5257",2015,9,-0.066578
"5266",2015,10,0.092966
"5275",2015,11,-0.054609
"5284",2015,12,-0.016154
"5293",2016,1,0.052441
"5302",2016,2,0.037879
"5311",2016,3,0.055009
"5320",2016,4,0.091883
"5329",2016,5,-0.09786
"5338",2016,6,-0.099724
"5347",2016,7,-0.040977
"5356",2016,8,-0.04753
"5365",2016,9,-0.036482
"5374",2016,10,0.025471
"5383",2016,11,0.00229600000000001
"5392",2016,12,-0.055618
"5401",2017,1,0.009783
"5410",2017,2,-0.013256
"5419",2017,3,0.001691
"5428",2017,4,-0.020865
"5437",2017,5,0.037984
"5446",2017,6,-0.022866
"5455",2017,7,-0.05285
"5464",2017,8,0.028262
"5473",2017,9,0.009659
"5482",2017,10,0.013968
"5491",2017,11,-0.005077
"5500",2017,12,-0.067877
"5509",2018,1,-0.016309
"5518",2018,2,0.031106
"5527",2018,3,-0.028159
"5536",2018,4,0.01553
"5545",2018,5,-0.009985
"5554",2018,6,0.000975
"5563",2018,7,-0.058032
"5572",2018,8,0.024563
"5581",2018,9,0.039204
"5590",2018,10,-0.022012
"5599",2018,11,-0.038726
"5608",2018,12,-0.048924
"5617",2019,1,-0.052728
"5626",2019,2,0.049338
"5635",2019,3,-0.025702
"5644",2019,4,0.008829
"5653",2019,5,0.003597
"5662",2019,6,-0.037764
"5671",2019,7,0.02431
"5680",2019,8,0.02218
"5689",2019,9,-0.010672
"5698",2019,10,0.030575
"5707",2019,11,0.051115
"5716",2019,12,-0.046776
"5725",2020,1,-0.009713
"5734",2020,2,0.03133
"5743",2020,3,-0.00458299999999998
"5752",2020,4,0.040347
"5761",2020,5,0.012007
"5770",2020,6,-0.029741
"5779",2020,7,0.056618
"5788",2020,8,0.054939
"5797",2020,9,-0.006203
"5806",2020,10,0.004884
"5815",2020,11,0.015022
"5824",2020,12,0.053841
"5833",2021,1,0.098473
"5842",2021,2,-0.022012
"5851",2021,3,0.072904
"5860",2021,4,0.013825
"5869",2021,5,-0.124751
"5878",2021,6,-0.025103
"5887",2021,7,-0.000482
"5896",2021,8,0.029802
"5905",2021,9,0.027627
"5914",2021,10,0.019637
"5923",2021,11,0.068495
"5932",2021,12,0.01675
