"","year","month","return"
"3941",1999,11,-0.045668
"3951",1999,12,0.102725
"3961",2000,1,-0.065656
"3971",2000,2,-0.010775
"3981",2000,3,0.048159
"3991",2000,4,0.022016
"4001",2000,5,0.118389
"4011",2000,6,0.174263
"4021",2000,7,-0.055016
"4031",2000,8,-0.070021
"4041",2000,9,0.047268
"4051",2000,10,0.097814
"4061",2000,11,0.017219
"4071",2000,12,-0.002239
"4081",2001,1,-0.109218
"4091",2001,2,-0.050339
"4101",2001,3,-0.012487
"4111",2001,4,-0.00984599999999998
"4121",2001,5,0.03592
"4131",2001,6,-0.025204
"4141",2001,7,-0.04245
"4151",2001,8,-0.030615
"4161",2001,9,0.013432
"4171",2001,10,0.126554
"4181",2001,11,0.00305
"4191",2001,12,0.018127
"4201",2002,1,0.025135
"4211",2002,2,-0.015183
"4221",2002,3,-0.039462
"4231",2002,4,-0.055433
"4241",2002,5,-0.009898
"4251",2002,6,0.051348
"4261",2002,7,0.059699
"4271",2002,8,0.012941
"4281",2002,9,0.023315
"4291",2002,10,0.104679
"4301",2002,11,-0.139911
"4311",2002,12,0.031304
"4321",2003,1,0.012665
"4331",2003,2,0.045881
"4341",2003,3,0.072275
"4351",2003,4,-0.031759
"4361",2003,5,-0.055502
"4371",2003,6,-0.0289
"4381",2003,7,-0.002844
"4391",2003,8,-0.029638
"4401",2003,9,-0.002868
"4411",2003,10,-0.03308
"4421",2003,11,-0.043177
"4431",2003,12,-0.072663
"4441",2004,1,0.005691
"4451",2004,2,-0.004175
"4461",2004,3,-0.002162
"4471",2004,4,0.015848
"4481",2004,5,0.002382
"4491",2004,6,0.00375
"4501",2004,7,0.022928
"4511",2004,8,-0.00341
"4521",2004,9,-0.040464
"4531",2004,10,0.021132
"4541",2004,11,-0.057978
"4551",2004,12,0.008546
"4561",2005,1,0.020501
"4571",2005,2,-0.032075
"4581",2005,3,0.009736
"4591",2005,4,0.024955
"4601",2005,5,0.007164
"4611",2005,6,-0.037779
"4621",2005,7,-0.023493
"4631",2005,8,-0.007489
"4641",2005,9,-0.017983
"4651",2005,10,0.062567
"4661",2005,11,-0.009943
"4671",2005,12,-0.014286
"4681",2006,1,-0.014306
"4691",2006,2,0.023516
"4701",2006,3,-0.009021
"4711",2006,4,-0.030477
"4721",2006,5,0.01454
"4731",2006,6,0.028302
"4741",2006,7,-0.018004
"4751",2006,8,-0.021509
"4761",2006,9,0.032736
"4771",2006,10,-0.000320999999999995
"4781",2006,11,-0.02027
"4791",2006,12,0.007457
"4801",2007,1,-0.007957
"4811",2007,2,0.000226000000000001
"4821",2007,3,-0.030711
"4831",2007,4,0.003209
"4841",2007,5,-0.002057
"4851",2007,6,-0.002268
"4861",2007,7,0.039021
"4871",2007,8,0.026164
"4881",2007,9,0.00107
"4891",2007,10,0.024952
"4901",2007,11,0.03797
"4911",2007,12,0.001345
"4921",2008,1,0.034526
"4931",2008,2,-0.002211
"4941",2008,3,0.043495
"4951",2008,4,0.007161
"4961",2008,5,-0.012107
"4971",2008,6,-0.008309
"4981",2008,7,0.083221
"4991",2008,8,0.027047
"5001",2008,9,0.089829
"5011",2008,10,0.158828
"5021",2008,11,0.128103
"5031",2008,12,0.008674
"5041",2009,1,0.015908
"5051",2009,2,0.090797
"5061",2009,3,-0.000878999999999991
"5071",2009,4,-0.234383
"5081",2009,5,-0.049976
"5091",2009,6,0.024909
"5101",2009,7,-0.039518
"5111",2009,8,-0.022383
"5121",2009,9,-0.046603
"5131",2009,10,0.024117
"5141",2009,11,0.014131
"5151",2009,12,-0.012868
"5161",2010,1,0.030307
"5171",2010,2,-0.020236
"5181",2010,3,0.008551
"5191",2010,4,-0.03288
"5201",2010,5,0.048454
"5211",2010,6,0.054802
"5221",2010,7,-0.051969
"5231",2010,8,0.012703
"5241",2010,9,-0.013014
"5251",2010,10,-0.004365
"5261",2010,11,0.000746
"5271",2010,12,-0.082389
"5281",2011,1,-0.007311
"5291",2011,2,-0.024687
"5301",2011,3,-0.009429
"5311",2011,4,0.031069
"5321",2011,5,0.0438
"5331",2011,6,0.003636
"5341",2011,7,0.038179
"5351",2011,8,0.08964
"5361",2011,9,0.112365
"5371",2011,10,-0.094705
"5381",2011,11,-0.006573
"5391",2011,12,0.025756
"5401",2012,1,0.015291
"5411",2012,2,0.003171
"5421",2012,3,0.057702
"5431",2012,4,0.022885
"5441",2012,5,0.075691
"5451",2012,6,-0.021881
"5461",2012,7,0.029269
"5471",2012,8,-0.004002
"5481",2012,9,-0.029058
"5491",2012,10,-0.057615
"5501",2012,11,0.00338
"5511",2012,12,-0.051572
"5521",2013,1,-0.051284
"5531",2013,2,0.004321
"5541",2013,3,-0.017736
"5551",2013,4,0.00589
"5561",2013,5,-0.024839
"5571",2013,6,0.003624
"5581",2013,7,0.017297
"5591",2013,8,-0.011497
"5601",2013,9,-0.034087
"5611",2013,10,-0.015926
"5621",2013,11,0.044685
"5631",2013,12,-0.003789
"5641",2014,1,0.00579900000000001
"5651",2014,2,-0.018772
"5661",2014,3,0.005691
"5671",2014,4,-0.002448
"5681",2014,5,-0.01384
"5691",2014,6,-0.044639
"5701",2014,7,-0.004505
"5711",2014,8,0.019189
"5721",2014,9,0.054143
"5731",2014,10,0.052661
"5741",2014,11,0.059075
"5751",2014,12,0.012293
"5761",2015,1,0.038116
"5771",2015,2,-0.007101
"5781",2015,3,0.009956
"5791",2015,4,-0.035602
"5801",2015,5,0.017564
"5811",2015,6,0.013038
"5821",2015,7,0.061276
"5831",2015,8,-0.00710700000000001
"5841",2015,9,0.05218
"5851",2015,10,-0.080605
"5861",2015,11,0.004817
"5871",2015,12,0.045105
"5881",2016,1,0.060994
"5891",2016,2,0.031162
"5901",2016,3,-0.055926
"5911",2016,4,-0.028824
"5921",2016,5,0.024525
"5931",2016,6,0.048915
"5941",2016,7,-0.029176
"5951",2016,8,-0.01348
"5961",2016,9,-0.04022
"5971",2016,10,-0.013066
"5981",2016,11,-0.02793
"5991",2016,12,-0.003505
"6001",2017,1,0.007316
"6011",2017,2,0.03876
"6021",2017,3,0.009908
"6031",2017,4,0.014005
"6041",2017,5,0.03755
"6051",2017,6,0.018192
"6061",2017,7,-0.00373
"6071",2017,8,0.027858
"6081",2017,9,-0.026338
"6091",2017,10,0.000154000000000001
"6101",2017,11,0.021039
"6111",2017,12,-0.029078
"6121",2018,1,0.013874
"6131",2018,2,0.02791
"6141",2018,3,-0.011836
"6151",2018,4,-0.01547
"6161",2018,5,-0.006724
"6171",2018,6,-0.007898
"6181",2018,7,-0.00474
"6191",2018,8,0.119516
"6201",2018,9,0.006098
"6211",2018,10,0.059378
"6221",2018,11,-0.03281
"6231",2018,12,0.011023
"6241",2019,1,-0.040673
"6251",2019,2,0.043627
"6261",2019,3,0.026598
"6271",2019,4,0.008372
"6281",2019,5,0.022038
"6291",2019,6,0.036545
"6301",2019,7,0.043262
"6311",2019,8,0.04448
"6321",2019,9,0.004003
"6331",2019,10,0.041766
"6341",2019,11,0.010455
"6351",2019,12,0.007899
"6361",2020,1,0.047967
"6371",2020,2,0.00509699999999999
"6381",2020,3,0.096192
"6391",2020,4,0.00198299999999998
"6401",2020,5,0.046413
"6411",2020,6,0.077827
"6421",2020,7,0.00691700000000001
"6431",2020,8,-0.018438
"6441",2020,9,0.058972
"6451",2020,10,0.012623
"6461",2020,11,-0.013506
"6471",2020,12,-0.001424
"6481",2021,1,-0.006534
"6491",2021,2,-0.020171
"6501",2021,3,-0.005557
"6511",2021,4,-0.00292700000000001
"6521",2021,5,0.025113
"6531",2021,6,0.039151
"6541",2021,7,0.046761
"6551",2021,8,0.01196
"6561",2021,9,-0.021055
"6571",2021,10,0.026409
"6581",2021,11,0.100804
"6591",2021,12,0.023719
