year,month,rank_EPRD,nstocks,ret_vw
1971,8,6,52,1.8901
1971,8,7,48,3.6154
1971,8,8,50,3.1674
1971,8,9,49,10.8158
1971,8,10,51,6.3759
1971,9,1,50,0.8005
1971,9,2,49,-0.2796
1971,9,3,50,-1.6907
1971,9,4,49,0.4016
1971,9,5,49,-0.4968
1971,9,6,52,-3.1137
1971,9,7,48,-1.0840
1971,9,8,50,-0.6324
1971,9,9,49,-1.0369
1971,9,10,49,-3.7443
1971,10,1,50,-1.6192
1971,10,2,49,-2.6517
1971,10,3,50,-4.6537
1971,10,4,49,-2.8511
1971,10,5,49,-6.2687
1971,10,6,52,-5.4220
1971,10,7,48,-5.8531
1971,10,8,50,-4.8838
1971,10,9,49,-6.1474
1971,10,10,49,-6.8915
1971,11,1,50,0.6225
1971,11,2,49,1.3015
1971,11,3,50,0.0121
1971,11,4,49,0.9258
1971,11,5,49,-1.1755
1971,11,6,52,-0.4442
1971,11,7,48,-1.0977
1971,11,8,50,-0.4251
1971,11,9,49,0.7248
1971,11,10,49,-1.3962
1971,12,1,50,8.7824
1971,12,2,49,8.8478
1971,12,3,50,7.6919
1971,12,4,49,9.2284
1971,12,5,49,9.1918
1971,12,6,52,10.6981
1971,12,7,48,9.4594
1971,12,8,50,8.0470
1971,12,9,49,6.0836
1971,12,10,48,11.3796
1972,1,1,50,1.0645
1972,1,2,49,5.4714
1972,1,3,50,0.4915
1972,1,4,49,0.6269
1972,1,5,49,2.0316
1972,1,6,52,-0.9328
1972,1,7,48,2.9879
1972,1,8,50,1.8163
1972,1,9,49,2.6295
1972,1,10,48,3.3645
1972,2,1,50,3.9200
1972,2,2,49,1.1197
1972,2,3,50,0.3293
1972,2,4,49,4.3885
1972,2,5,49,2.2668
1972,2,6,52,4.4111
1972,2,7,48,4.3369
1972,2,8,50,1.0460
1972,2,9,49,1.0003
1972,2,10,47,2.2160
1972,3,1,50,-1.1405
1972,3,2,49,2.3316
1972,3,3,50,1.0221
1972,3,4,49,1.8192
1972,3,5,49,-2.0224
1972,3,6,52,-1.6041
1972,3,7,48,1.2744
1972,3,8,50,-1.2887
1972,3,9,49,3.6157
1972,3,10,47,-1.8706
1972,4,1,50,2.0144
1972,4,2,49,1.1902
1972,4,3,50,0.5125
1972,4,4,49,0.2165
1972,4,5,49,-0.9205
1972,4,6,52,0.6165
1972,4,7,48,0.3943
1972,4,8,50,-0.4299
1972,4,9,49,-2.7216
1972,4,10,47,3.1255
1972,5,1,50,5.5734
1972,5,2,49,2.3006
1972,5,3,50,1.4123
1972,5,4,49,2.4720
1972,5,5,49,-0.9477
1972,5,6,52,0.6378
1972,5,7,48,-1.4118
1972,5,8,50,0.2473
1972,5,9,49,-2.2839
1972,5,10,47,0.5696
1972,6,1,50,0.5000
1972,6,2,49,-1.8431
1972,6,3,50,-3.4874
1972,6,4,49,-1.7077
1972,6,5,49,-3.5664
1972,6,6,52,-4.1376
1972,6,7,48,-4.3223
1972,6,8,50,-3.3762
1972,6,9,49,-3.5540
1972,6,10,47,-6.4301
1972,7,1,52,3.5257
1972,7,2,51,1.3008
1972,7,3,51,-0.2456
1972,7,4,51,-0.7437
1972,7,5,51,-1.6073
1972,7,6,53,-3.7093
1972,7,7,52,-3.3484
1972,7,8,51,-0.9269
1972,7,9,51,-0.8735
1972,7,10,52,-3.7967
1972,8,1,52,2.0323
1972,8,2,51,4.9640
1972,8,3,51,7.4870
1972,8,4,51,1.6813
1972,8,5,51,7.1682
1972,8,6,53,5.3772
1972,8,7,52,2.8668
1972,8,8,51,5.4510
1972,8,9,51,6.0484
1972,8,10,52,5.7097
1972,9,1,52,-0.4847
1972,9,2,51,-0.4448
1972,9,3,51,-3.1456
1972,9,4,51,2.1494
1972,9,5,51,-0.9205
1972,9,6,53,-2.9150
1972,9,7,52,-5.5772
1972,9,8,51,3.1426
1972,9,9,51,-1.4423
1972,9,10,52,-5.4501
1972,10,1,52,3.5127
1972,10,2,51,-0.1840
1972,10,3,51,1.5969
1972,10,4,51,1.3286
1972,10,5,51,-0.1597
1972,10,6,53,-1.1078
1972,10,7,52,-0.6655
1972,10,8,51,2.0401
1972,10,9,51,-3.2644
1972,10,10,52,1.6563
1972,11,1,52,2.5292
1972,11,2,51,4.1156
1972,11,3,51,7.0566
1972,11,4,51,4.2423
1972,11,5,51,9.4531
1972,11,6,53,10.0776
1972,11,7,52,8.7777
1972,11,8,51,7.6206
1972,11,9,51,9.3407
1972,11,10,52,8.3487
1972,12,1,52,2.9751
1972,12,2,51,1.8474
1972,12,3,51,-0.5620
1972,12,4,51,2.8539
1972,12,5,51,-1.3416
1972,12,6,53,-0.8960
1972,12,7,52,-2.3679
1972,12,8,51,1.7171
1972,12,9,51,-1.6473
1972,12,10,52,-4.5384
1973,1,1,52,1.0671
1973,1,2,51,3.9024
1973,1,3,51,-5.4389
1973,1,4,51,-1.7396
1973,1,5,51,-5.3562
1973,1,6,53,-3.7504
1973,1,7,52,-3.6744
1973,1,8,51,-3.9945
1973,1,9,51,-4.3614
1973,1,10,52,-6.1912
1973,2,1,52,-2.9459
1973,2,2,51,-3.4060
1973,2,3,51,-1.9464
1973,2,4,51,-4.5762
1973,2,5,51,-3.9445
1973,2,6,53,-3.8903
1973,2,7,52,-5.4807
1973,2,8,51,-5.2086
1973,2,9,51,-3.5514
1973,2,10,51,-3.2341
1973,3,1,52,1.4518
1973,3,2,51,0.8403
1973,3,3,51,-2.6024
1973,3,4,51,-1.4457
1973,3,5,51,-0.9353
1973,3,6,53,-1.5997
1973,3,7,52,-1.3456
1973,3,8,50,0.0050
1973,3,9,51,0.5532
1973,3,10,51,1.6020
1973,4,1,52,-2.8956
1973,4,2,51,-4.4944
1973,4,3,51,-4.9561
1973,4,4,51,-3.7359
1973,4,5,51,-4.9875
1973,4,6,53,-2.9373
1973,4,7,52,-4.2523
1973,4,8,50,-0.2505
1973,4,9,51,-2.5966
1973,4,10,51,-7.9346
1973,5,1,52,0.4428
1973,5,2,51,-1.8364
1973,5,3,51,-0.0790
1973,5,4,51,-1.2407
1973,5,5,50,0.7974
1973,5,6,53,-5.2468
1973,5,7,52,-3.3487
1973,5,8,51,-1.8714
1973,5,9,51,-4.3074
1973,5,10,51,-8.3010
1973,6,1,52,1.5717
1973,6,2,51,-0.1764
1973,6,3,51,-1.6110
1973,6,4,51,-0.5285
1973,6,5,50,-1.1146
1973,6,6,53,-2.8778
1973,6,7,51,-1.7949
1973,6,8,51,-1.9549
1973,6,9,51,-1.2567
1973,6,10,51,-4.3260
1973,7,1,74,4.6283
1973,7,2,76,2.2582
1973,7,3,75,3.9573
1973,7,4,76,4.6588
1973,7,5,72,2.9316
1973,7,6,77,5.8616
1973,7,7,79,7.9914
1973,7,8,84,2.3050
1973,7,9,78,3.8112
1973,7,10,78,10.5975
1973,8,1,74,-4.5821
1973,8,2,76,-3.6612
1973,8,3,75,-1.7174
1973,8,4,76,-3.2583
1973,8,5,72,-1.9827
1973,8,6,77,-2.0802
1973,8,7,79,-3.5230
1973,8,8,84,-2.6855
1973,8,9,78,-3.2443
1973,8,10,78,-0.7648
1973,9,1,74,2.9891
1973,9,2,76,-2.1357
1973,9,3,75,6.0998
1973,9,4,76,7.1046
1973,9,5,73,3.2621
1973,9,6,77,9.0452
1973,9,7,79,12.6456
1973,9,8,84,9.9385
1973,9,9,78,7.9029
1973,9,10,78,8.0793
1973,10,1,74,1.3662
1973,10,2,76,2.5984
1973,10,3,75,0.5247
1973,10,4,76,0.0843
1973,10,5,73,-1.0826
1973,10,6,77,3.3119
1973,10,7,79,-1.2352
1973,10,8,84,-4.6744
1973,10,9,78,-2.1342
1973,10,10,78,3.3341
1973,11,1,74,-8.6028
1973,11,2,76,-10.3574
1973,11,3,75,-13.5284
1973,11,4,76,-9.6600
1973,11,5,73,-13.5587
1973,11,6,77,-13.5076
1973,11,7,79,-13.3628
1973,11,8,84,-7.7828
1973,11,9,78,-16.0051
1973,11,10,78,-18.0794
1973,12,1,74,0.3674
1973,12,2,76,-0.3391
1973,12,3,75,1.4398
1973,12,4,76,3.5373
1973,12,5,73,1.6374
1973,12,6,77,4.6331
1973,12,7,79,6.1600
1973,12,8,84,5.1028
1973,12,9,77,-0.4304
1973,12,10,77,4.0918
1974,1,1,74,-3.5254
1974,1,2,76,-1.2526
1974,1,3,75,-0.0455
1974,1,4,76,-0.8469
1974,1,5,73,-0.1097
1974,1,6,77,3.2024
1974,1,7,79,2.6067
1974,1,8,84,0.9740
1974,1,9,77,8.0043
1974,1,10,77,8.9968
1974,2,1,74,-0.8654
1974,2,2,76,-1.0364
1974,2,3,75,1.0180
1974,2,4,76,-1.0384
1974,2,5,73,-0.0384
1974,2,6,77,1.3657
1974,2,7,79,0.5477
1974,2,8,83,4.8275
1974,2,9,76,1.2115
1974,2,10,77,2.1886
1974,3,1,74,-1.1887
1974,3,2,76,-2.5370
1974,3,3,75,-1.1171
1974,3,4,76,-3.1842
1974,3,5,73,-1.3956
1974,3,6,77,-2.1541
1974,3,7,79,-1.8619
1974,3,8,83,-3.9968
1974,3,9,76,-1.9515
1974,3,10,76,-2.8323
1974,4,1,74,-2.5866
1974,4,2,76,-3.0999
1974,4,3,75,-5.5405
1974,4,4,76,-5.4010
1974,4,5,73,-4.3684
1974,4,6,77,-4.0667
1974,4,7,79,-4.0394
1974,4,8,83,-4.8048
1974,4,9,75,-2.3348
1974,4,10,76,-5.1149
1974,5,1,74,-0.7409
1974,5,2,76,-2.8528
1974,5,3,75,-1.1743
1974,5,4,76,-2.9752
1974,5,5,73,-3.2920
1974,5,6,77,-6.6298
1974,5,7,78,-8.3555
1974,5,8,83,-3.0052
1974,5,9,74,-0.1145
1974,5,10,75,-8.5825
1974,6,1,74,-1.0722
1974,6,2,76,-1.6695
1974,6,3,75,-1.5437
1974,6,4,76,-0.6775
1974,6,5,73,-2.3145
1974,6,6,77,-1.2677
1974,6,7,78,0.5904
1974,6,8,83,-0.0561
1974,6,9,74,-1.8434
1974,6,10,75,-4.1693
1974,7,1,81,-12.6391
1974,7,2,83,-3.5826
1974,7,3,77,-7.6429
1974,7,4,83,-8.2203
1974,7,5,83,-8.5175
1974,7,6,91,-4.5419
1974,7,7,94,-1.2811
1974,7,8,92,-6.4330
1974,7,9,90,-6.1240
1974,7,10,88,-9.0068
1974,8,1,81,-8.9663
1974,8,2,83,-8.5303
1974,8,3,77,-8.3250
1974,8,4,82,-11.0923
1974,8,5,83,-9.1429
1974,8,6,90,-8.2358
1974,8,7,94,-7.8683
1974,8,8,92,-6.3293
1974,8,9,90,-2.4548
1974,8,10,86,-3.7275
1974,9,1,81,-16.4954
1974,9,2,83,-13.2172
