RPCA1,RPCA2,RPCA3,RPCA4,RPCA5
0.116246463,0.001596908,0.005182433,0.007147584,0.008603798
-0.02103781,-0.022771191,0.011525919,0.009326127,-0.000474233
-0.029073117,-0.012453012,-0.005874045,1.71E-05,0.007015908
0.005723199,-0.010447784,0.007908051,0.00674723,0.00550862
-0.072833283,-0.024826104,0.007187656,-0.00126479,0.009917269
0.134460723,-0.017385666,0.017249568,0.006165191,0.011877862
0.016935023,-0.01434786,0.004373145,0.006984007,0.001087731
-0.08884763,-0.054697614,0.002133377,0.000819903,-0.005052249
0.008736108,-0.039388159,0.011856454,0.010930832,0.00339273
0.105620668,-0.023185537,0.011556727,0.006873371,0.003869464
0.152768423,0.027500638,0.004737613,0.018845691,-0.008498827
0.088892938,-0.033888947,0.000431528,0.01058221,0.00520952
-0.015815314,-0.015254084,0.005526636,0.00520694,0.009818277
0.109150258,0.021657474,0.005950122,0.016436986,0.00692082
0.127154311,-0.031724756,0.010437764,0.011032562,0.010653623
-0.03360369,-0.008019009,0.008224371,-0.002442095,-0.010247577
-0.35452096,0.05495908,-0.010431801,-0.025237295,-0.015011406
0.088114452,-0.012476304,-0.000384677,0.017592635,0.014519139
0.020912567,-0.002172436,0.004599001,0.011065527,0.007856488
0.138422849,-0.026964396,0.020565329,0.004580941,-0.003439808
-0.072272588,-0.018493877,0.003625608,-0.001392992,-1.33E-05
0.157245389,-0.004974,0.003927705,0.005282118,0.016198302
0.021478768,-0.0167706,0.00922416,0.006622816,0.00558257
-0.044134263,-0.006645,0.003494317,-0.003463549,0.000939808
0.096425613,0.009783335,0.00747674,-0.00030589,0.002352066
0.038517361,-0.001248,0.015516321,-0.002413491,0.010257972
0.132706259,0.006809239,0.011052434,0.003572957,0.001091421
-0.024969506,0.003132192,-0.00029104,0.015086519,0.006900423
-0.205286419,0.004055502,-0.022297484,0.002903336,0.008957961
0.133859115,0.002826745,0.002157943,0.017612445,0.021389206
0.084166389,-0.035954441,-0.003893698,0.022060699,0.006896315
0.132105162,-0.014956984,0.003908394,0.037659875,-0.011517079
-0.054757282,-0.003931368,-0.01744498,0.029263892,-0.000921069
-0.326180279,0.027747927,-0.011633806,-0.03628794,-0.009130438
0.096893846,0.005604388,0.018021264,-0.004275203,0.006855929
0.136562915,0.008248812,0.021914654,-0.006453223,0.012408424
0.073399961,0.003230313,0.008871579,0.001719025,0.00884977
0.175297345,-0.00555766,0.005480503,0.009234329,0.012176366
0.081503314,-0.042952584,-0.001130692,0.016943209,0.003254127
0.050764058,0.002877918,-0.005612725,0.019217146,0.004020696
0.03540989,-0.024094489,-0.008275932,0.024379497,0.000231959
0.141459548,0.053000617,-0.043047916,0.044331101,-0.002154024
-0.083203894,0.002719108,0.017548499,-0.023812851,0.00522453
-0.053918773,-0.046818667,0.039648807,-0.015816615,-0.000229605
0.008215553,0.019518448,0.017934658,-0.002822273,0.009316888
0.12496735,-0.005766665,0.018407057,-0.012599668,0.016801911
0.009243324,-0.042614407,0.022653599,0.002497334,0.016045519
0.029755498,-0.01832504,-0.001400952,0.005017995,0.015365657
-0.055684938,0.001878516,0.034299518,-0.001451843,-0.012321264
-0.056875306,0.015915664,-0.017294005,6.79E-05,0.000873833
-0.160396452,0.005708145,0.011749398,-0.007901617,0.01016335
-0.165845638,0.006908724,0.018153747,9.46E-05,0.018316641
0.121952654,-0.0018761,-0.00432729,0.016047311,0.005240065
0.051164297,0.034932801,0.028284117,0.003017923,-0.000572622
-0.059988542,-0.016626897,0.014946724,0.00434937,0.011288992
-0.076407318,-0.012824256,0.012212601,0.019412971,-0.012737078
-0.105954067,-0.014415081,0.033294849,0.013199508,0.020904598
-0.036286727,0.001136092,0.022618797,0.011556825,0.00931602
0.083682562,0.004739158,0.007867059,0.00322622,0.00518106
-0.078468481,-0.015953993,0.015002856,0.01997114,0.003055187
-0.066099574,0.003801337,0.021390204,0.01910698,0.015491031
-0.059371515,-0.015201032,0.019800012,0.019227529,0.017910142
0.184453805,0.085195102,0.008684589,-0.016037312,-0.006445243
0.051661323,0.000140171,0.043915243,0.019338142,0.01859773
0.257803815,0.020056775,0.005409916,0.000186282,0.002891277
0.140759557,-0.022067917,0.020523307,0.022479526,0.013227488
0.014141528,-0.001138315,0.011012983,0.00700159,-0.004345843
0.103430521,-0.04363996,-0.012391465,0.00464027,-0.025086159
0.081347642,-0.007564981,0.033988442,0.023444122,0.012247769
0.073334431,0.00130986,0.031037134,0.013495912,-0.000159093
0.132256615,0.015142095,0.020042101,0.017956153,-0.009896409
0.084500478,-0.070715839,-0.007913859,-0.005471557,-0.00550638
0.068931656,0.003281961,-0.004981086,0.009772628,0.003338861
-0.068995498,-0.016663212,0.02801327,-0.004568449,0.000479441
-0.049074699,0.035872123,0.001214857,-0.010295161,-0.014345531
0.025220398,0.01968624,0.029164141,-0.004421261,0.02425489
